subject,trial,sound,wordcond,stroop,response,distractor,error
138,20,drawer,cog,inc,31,13,0
138,21,train,ff,con,28,28,1
138,22,chimney,ff,inc,24,4,1
138,23,match,ff,inc,25,7,1
138,24,merdant,neutral,inc,7,20,0
139,1,cross,ff,inc,20,5,0
139,2,button,cog,con,30,11,0
139,3,camel,ff,con,21,2,0
139,4,sardrobe,neutral,inc,15,22,0
139,5,thet,neutral,inc,14,24,1
139,6,backbund,neutral,con,1,17,0
139,7,spenlers,neutral,con,12,23,0
139,8,key,ff,inc,27,6,0
139,9,rav,neutral,con,16,21,1
139,10,lock,cog,con,19,15,0
139,11,hellfime,neutral,inc,2,18,0
139,12,box,cog,inc,29,10,0
139,13,candle,ff,con,3,25,0
139,14,lipstick,cog,con,32,14,0
139,15,balloon,ff,con,17,1,0
139,16,pig,cog,con,23,16,0
139,17,apple,cog,inc,22,9,0
139,18,dragon,cog,inc,18,12,0
139,19,leparts,neutral,con,6,19,0
139,20,drawer,cog,inc,31,13,0
139,21,train,ff,con,28,28,1
139,22,chimney,ff,inc,26,4,0
139,23,match,ff,inc,24,7,0
139,24,merdant,neutral,inc,4,20,1
